exp_id,symbols,strategies,entry_mode,mkt_order,metric,min_goodness,mean_goodness,min_return_pct,mean_return_pct,min_sortino,best_lookback,best_switch,best_sit_out,best_selection,status
add_aapl_prod7_all_emfirsttrigger_mkt0_metp10_fine,"NVDA,PLTR,GOOG,DBX,TRIP,MTCH,AAPL",prod7_all,first_trigger,False,p10,1.1880,2.1436,0.1484,0.4214,0.8291,22,0.0075,-0.002,sticky,done
add_aapl_prod7_nonyt_emedgerank_mkt0_metp10_fine,"NVDA,PLTR,GOOG,DBX,TRIP,MTCH,AAPL",prod7_nonyt,edge_rank,False,p10,1.1746,2.3934,0.1298,0.4459,0.8581,20,0.0,0.0,sticky,done
add_aapl_prod7_nonyt_emfirsttrigger_mkt0_metp10_fine,"NVDA,PLTR,GOOG,DBX,TRIP,MTCH,AAPL",prod7_nonyt,first_trigger,False,p10,1.1746,2.3987,0.1298,0.4459,0.8581,20,0.0,0.0,sticky,done
add_aapl_prod7_all_emfirsttrigger_mkt0_metp10_fast,"NVDA,PLTR,GOOG,DBX,TRIP,MTCH,AAPL",prod7_all,first_trigger,False,p10,1.0651,1.2628,0.1912,0.1912,0.5917,14,0.005,0.0,sticky,done
add_aapl_prod7_wd07_emedgerank_mkt0_metp10_fast,"NVDA,PLTR,GOOG,DBX,TRIP,MTCH,AAPL",prod7_wd07,edge_rank,False,p10,1.0651,1.2628,0.1912,0.1912,0.5917,14,0.005,0.0,sticky,done
add_aapl_prod7_wd07_emfirsttrigger_mkt0_metp10_fast,"NVDA,PLTR,GOOG,DBX,TRIP,MTCH,AAPL",prod7_wd07,first_trigger,False,p10,1.0651,1.2628,0.1912,0.1912,0.5917,14,0.005,0.0,sticky,done
add_aapl_prod7_all_emedgerank_mkt0_metp10_fast,"NVDA,PLTR,GOOG,DBX,TRIP,MTCH,AAPL",prod7_all,edge_rank,False,p10,1.0602,1.2612,0.1912,0.1912,0.5851,14,0.005,0.0,sticky,done
add_aapl_core5_emfirsttrigger_mkt0_metp10_fast,"NVDA,PLTR,GOOG,DBX,TRIP,MTCH,AAPL",core5,first_trigger,False,p10,1.0578,1.2604,0.1912,0.1912,0.5819,14,0.005,0.0,sticky,done
add_aapl_core5_emedgerank_mkt0_metp10_fast,"NVDA,PLTR,GOOG,DBX,TRIP,MTCH,AAPL",core5,edge_rank,False,p10,1.0530,1.2588,0.1912,0.1912,0.5756,14,0.005,0.0,sticky,done
no_nyt_prod7_emedgerank_mkt1_metp10_fast,"NVDA,PLTR,GOOG,DBX,TRIP,MTCH",prod7,edge_rank,True,p10,0.8017,1.1228,0.1945,0.2262,0.5519,14,0.005,-0.001,sticky,done
