entry_offset_bps,exit_offset_bps,allocation_scale,confidence_threshold,fee_bps,train_sortino,train_return,train_max_dd,train_p10,val_sortino,val_return,val_max_dd,val_p10,num_train_windows,num_val_windows
-10,-15,1.5,0.0,0.0,1.0879,0.0511,-0.0555,-0.1068,0.4246,0.0146,-0.0438,-0.0680,551,237
-25,25,2.0,0.0,0.0,1.4703,0.0941,-0.0647,-0.0595,1.4327,0.0584,-0.0570,-0.0681,551,237
-10,10,2.0,0.0,0.0,1.4647,0.0993,-0.0696,-0.1019,1.2146,0.0499,-0.0577,-0.0684,551,237
20,-25,1.5,0.0,0.0,0.4693,0.0185,-0.0684,-0.1375,-0.3703,-0.0165,-0.0554,-0.0689,551,237
25,-20,1.5,0.0,0.0,0.4664,0.0183,-0.0683,-0.1376,-0.3733,-0.0167,-0.0554,-0.0691,551,237
-25,-10,1.5,0.0,0.0,1.0951,0.0471,-0.0527,-0.0826,0.6721,0.0192,-0.0431,-0.0694,551,237
-5,-25,2.0,0.0,0.0,0.8957,0.0505,-0.0803,-0.1504,0.3427,0.0115,-0.0591,-0.0699,551,237
0,-20,2.0,0.0,0.0,0.9073,0.0522,-0.0769,-0.1441,0.3394,0.0119,-0.0591,-0.0701,551,237
5,-15,2.0,0.0,0.0,0.9034,0.0520,-0.0769,-0.1443,0.3361,0.0116,-0.0591,-0.0703,551,237
10,-10,2.0,0.0,0.0,0.9001,0.0517,-0.0769,-0.1445,0.3328,0.0114,-0.0591,-0.0706,551,237
15,-5,2.0,0.0,0.0,0.8968,0.0514,-0.0768,-0.1447,0.3295,0.0111,-0.0590,-0.0708,551,237
20,0,2.0,0.0,0.0,0.8935,0.0512,-0.0768,-0.1449,0.3262,0.0109,-0.0590,-0.0710,551,237
-25,20,2.0,0.0,0.0,1.4244,0.0903,-0.0654,-0.0649,1.3557,0.0553,-0.0570,-0.0712,551,237
25,5,2.0,0.0,0.0,0.8834,0.0506,-0.0770,-0.1452,0.3193,0.0104,-0.0592,-0.0715,551,237
-15,-25,1.5,0.0,0.0,0.8941,0.0422,-0.0570,-0.1116,0.2245,0.0060,-0.0440,-0.0718,551,237
-10,-20,1.5,0.0,0.0,0.9884,0.0461,-0.0570,-0.1118,0.2707,0.0095,-0.0440,-0.0719,551,237
-20,-5,2.0,0.0,0.0,1.2878,0.0850,-0.0700,-0.1074,0.8857,0.0359,-0.0575,-0.0724,551,237
-25,-15,1.5,0.0,0.0,1.0304,0.0435,-0.0534,-0.0893,0.5443,0.0155,-0.0433,-0.0727,551,237
-15,0,2.0,0.0,0.0,1.2774,0.0854,-0.0700,-0.1074,0.8072,0.0356,-0.0575,-0.0727,551,237
-10,5,2.0,0.0,0.0,1.3771,0.0925,-0.0702,-0.1092,1.1288,0.0431,-0.0577,-0.0731,551,237
25,-25,1.5,0.0,0.0,0.3851,0.0141,-0.0704,-0.1439,-0.5023,-0.0221,-0.0558,-0.0732,551,237
-25,15,2.0,0.0,0.0,1.3769,0.0858,-0.0661,-0.0714,1.2786,0.0511,-0.0570,-0.0741,551,237
0,-25,2.0,0.0,0.0,0.8366,0.0472,-0.0797,-0.1507,0.1708,0.0037,-0.0617,-0.0746,551,237
5,-20,2.0,0.0,0.0,0.8320,0.0470,-0.0796,-0.1509,0.1668,0.0035,-0.0617,-0.0749,551,237
10,-15,2.0,0.0,0.0,0.8274,0.0468,-0.0796,-0.1511,0.1636,0.0032,-0.0617,-0.0751,551,237
15,-10,2.0,0.0,0.0,0.8228,0.0465,-0.0796,-0.1513,0.1604,0.0030,-0.0617,-0.0753,551,237
20,-5,2.0,0.0,0.0,0.8182,0.0463,-0.0796,-0.1515,0.1572,0.0028,-0.0617,-0.0755,551,237
-10,-25,1.5,0.0,0.0,0.9252,0.0415,-0.0587,-0.1172,0.1955,0.0050,-0.0442,-0.0757,551,237
25,0,2.0,0.0,0.0,0.8136,0.0460,-0.0796,-0.1517,0.1540,0.0025,-0.0616,-0.0757,551,237
-25,-20,1.5,0.0,0.0,0.9375,0.0408,-0.0541,-0.0959,0.4263,0.0118,-0.0435,-0.0759,551,237
-20,-10,2.0,0.0,0.0,1.1957,0.0786,-0.0710,-0.1161,0.6934,0.0304,-0.0577,-0.0770,551,237
-15,-5,2.0,0.0,0.0,1.2386,0.0789,-0.0709,-0.1161,0.6850,0.0302,-0.0577,-0.0773,551,237
-25,10,2.0,0.0,0.0,1.3226,0.0820,-0.0668,-0.0784,1.1615,0.0467,-0.0570,-0.0774,551,237
-10,0,2.0,0.0,0.0,1.2978,0.0865,-0.0709,-0.1179,0.9519,0.0353,-0.0577,-0.0775,551,237
-25,-25,1.5,0.0,0.0,0.8621,0.0371,-0.0548,-0.1025,0.3042,0.0082,-0.0437,-0.0791,551,237
5,-25,2.0,0.0,0.0,0.7641,0.0426,-0.0824,-0.1574,0.0554,-0.0023,-0.0657,-0.0793,551,237
10,-20,2.0,0.0,0.0,0.7615,0.0424,-0.0824,-0.1576,0.0523,-0.0026,-0.0657,-0.0795,551,237
15,-15,2.0,0.0,0.0,0.7577,0.0421,-0.0824,-0.1578,0.0472,-0.0028,-0.0657,-0.0798,551,237
20,-10,2.0,0.0,0.0,0.7539,0.0418,-0.0823,-0.1580,0.0410,-0.0030,-0.0656,-0.0800,551,237
25,-5,2.0,0.0,0.0,0.7515,0.0416,-0.0823,-0.1582,0.0349,-0.0033,-0.0656,-0.0802,551,237
-25,5,2.0,0.0,0.0,1.2661,0.0783,-0.0675,-0.0848,1.0306,0.0416,-0.0570,-0.0814,551,237
-20,-15,2.0,0.0,0.0,1.1285,0.0729,-0.0719,-0.1246,0.5487,0.0250,-0.0580,-0.0816,551,237
-15,-10,2.0,0.0,0.0,1.1539,0.0735,-0.0719,-0.1246,0.5483,0.0248,-0.0579,-0.0819,551,237
-10,-5,2.0,0.0,0.0,1.2621,0.0792,-0.0719,-0.1264,0.7853,0.0291,-0.0579,-0.0821,551,237
10,-25,2.0,0.0,0.0,0.6656,0.0368,-0.0851,-0.1641,-0.0887,-0.0095,-0.0697,-0.0840,551,237
15,-20,2.0,0.0,0.0,0.6630,0.0365,-0.0851,-0.1643,-0.0943,-0.0097,-0.0696,-0.0842,551,237
20,-15,2.0,0.0,0.0,0.6604,0.0363,-0.0851,-0.1645,-0.0999,-0.0099,-0.0696,-0.0844,551,237
25,-10,2.0,0.0,0.0,0.6578,0.0361,-0.0851,-0.1647,-0.1055,-0.0101,-0.0696,-0.0846,551,237
-25,0,2.0,0.0,0.0,1.1669,0.0736,-0.0682,-0.0917,0.8913,0.0360,-0.0570,-0.0854,551,237
-20,-20,2.0,0.0,0.0,1.0403,0.0664,-0.0728,-0.1331,0.4389,0.0197,-0.0582,-0.0862,551,237
-15,-15,2.0,0.0,0.0,1.0718,0.0677,-0.0728,-0.1331,0.4362,0.0194,-0.0582,-0.0864,551,237
-10,-10,2.0,0.0,0.0,1.1844,0.0739,-0.0728,-0.1348,0.5934,0.0234,-0.0582,-0.0866,551,237
15,-25,2.0,0.0,0.0,0.5733,0.0302,-0.0879,-0.1715,-0.2702,-0.0154,-0.0731,-0.0886,551,237
20,-20,2.0,0.0,0.0,0.5688,0.0300,-0.0878,-0.1716,-0.2732,-0.0156,-0.0730,-0.0889,551,237
25,-15,2.0,0.0,0.0,0.5644,0.0298,-0.0878,-0.1718,-0.2764,-0.0158,-0.0730,-0.0891,551,237
-25,-5,2.0,0.0,0.0,1.1831,0.0677,-0.0691,-0.1005,0.8088,0.0306,-0.0573,-0.0896,551,237
-20,-25,2.0,0.0,0.0,0.9679,0.0593,-0.0737,-0.1415,0.3182,0.0135,-0.0584,-0.0913,551,237
-15,-20,2.0,0.0,0.0,0.9689,0.0612,-0.0737,-0.1415,0.3122,0.0132,-0.0584,-0.0915,551,237
-10,-15,2.0,0.0,0.0,1.0932,0.0682,-0.0737,-0.1429,0.4187,0.0178,-0.0584,-0.0917,551,237
20,-25,2.0,0.0,0.0,0.4803,0.0239,-0.0906,-0.1796,-0.3727,-0.0227,-0.0735,-0.0934,551,237
25,-20,2.0,0.0,0.0,0.4779,0.0237,-0.0905,-0.1798,-0.3757,-0.0229,-0.0735,-0.0936,551,237
-25,-10,2.0,0.0,0.0,1.0975,0.0626,-0.0700,-0.1092,0.6692,0.0249,-0.0575,-0.0937,551,237
-15,-25,2.0,0.0,0.0,0.9016,0.0552,-0.0757,-0.1490,0.2226,0.0067,-0.0586,-0.0966,551,237
-10,-20,2.0,0.0,0.0,0.9919,0.0604,-0.0757,-0.1492,0.2762,0.0120,-0.0586,-0.0969,551,237
-25,-15,2.0,0.0,0.0,1.0323,0.0579,-0.0710,-0.1178,0.5411,0.0198,-0.0577,-0.0979,551,237
25,-25,2.0,0.0,0.0,0.3933,0.0184,-0.0933,-0.1878,-0.5094,-0.0301,-0.0740,-0.0983,551,237
-10,-25,2.0,0.0,0.0,0.9222,0.0551,-0.0780,-0.1555,0.1989,0.0049,-0.0589,-0.1019,551,237
-25,-20,2.0,0.0,0.0,0.9467,0.0543,-0.0719,-0.1264,0.4216,0.0150,-0.0580,-0.1021,551,237
-25,-25,2.0,0.0,0.0,0.8711,0.0493,-0.0728,-0.1348,0.3026,0.0093,-0.0582,-0.1062,551,237
