dip_pct,proximity_pct,profit_target_pct,stop_loss_pct,max_positions,max_hold_days,lookback_days,ref_price_method,max_leverage,enable_shorts,trailing_stop_pct,sma_filter_period,market_breadth_filter,mean_sortino,min_sortino,max_sortino,mean_return_pct,min_return_pct,max_return_pct,mean_drawdown_pct,worst_drawdown_pct,mean_n_trades,total_n_trades,mean_win_rate,n_windows,w0_sortino,w0_return_pct,w0_drawdown_pct,w0_n_trades,w1_sortino,w1_return_pct,w1_drawdown_pct,w1_n_trades,w2_sortino,w2_return_pct,w2_drawdown_pct,w2_n_trades
0.05,0.03,0.07,0.05,5,14,20,sma,1.0,False,0.05,10,0.8,-581119.3578784082,-1213441.351539333,-215254.1413812918,-1.2615993709756974,-2.731120197840319,-0.5015989966124107,-1.4768169743397899,-2.731120197840319,2.0,6,0.0,3,-1213441.351539333,-2.731120197840319,-2.731120197840319,3,-215254.1413812918,-0.5520789184743625,-0.5520789184743625,1,-314662.5807146,-0.5015989966124107,-1.1472518067046877,2
0.1,0.03,0.15,0.2,7,14,10,close,1.0,False,0.05,0,0.0,-674937.1585749617,-1243885.2488543396,-161084.52200277825,-1.52895021911414,-2.799640973692003,-0.26234179388002304,-1.809497598438339,-2.799640973692003,2.3333333333333335,7,13.333333333333334,3,-1243885.2488543396,-2.799640973692003,-2.799640973692003,5,-619841.7048677673,-1.5248678897703938,-1.5248678897703938,1,-161084.52200277825,-0.26234179388002304,-1.1039839318526206,1
0.05,0.05,0.15,0.1,10,30,20,close,1.0,False,0.05,20,0.0,-561893.1089535649,-1445925.8295255308,-3.6385429569961225,-12.605917447379525,-34.03631260501634,-0.5270614084237605,-12.605917447379525,-34.03631260501634,7.666666666666667,23,19.047619047619047,3,-1445925.8295255308,-3.2543783286984764,-3.2543783286984764,5,-239749.85879220688,-0.5270614084237605,-0.5270614084237605,4,-3.6385429569961225,-34.03631260501634,-34.03631260501634,14
0.15,0.01,0.1,0.1,10,14,30,sma,2.0,False,0.03,10,0.8,-595140.5711159132,-1785421.7133477398,0.0,-1.339496492572107,-4.0184894777163205,0.0,-1.339496492572107,-4.0184894777163205,0.3333333333333333,1,0.0,3,-1785421.7133477398,-4.0184894777163205,-4.0184894777163205,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0
0.15,0.01,0.15,0.1,7,21,30,sma,2.0,False,0.05,0,0.7,-595140.5711159132,-1785421.7133477398,0.0,-1.339496492572107,-4.0184894777163205,0.0,-1.339496492572107,-4.0184894777163205,0.3333333333333333,1,0.0,3,-1785421.7133477398,-4.0184894777163205,-4.0184894777163205,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0
0.05,0.03,0.03,0.15,7,30,20,sma,5.0,False,0.05,20,0.0,-1183944.0677398483,-2045449.8315431331,0.0,-3.045958135658784,-5.353186871438993,0.0,-3.045958135658784,-5.353186871438993,0.6666666666666666,2,0.0,3,-2045449.8315431331,-5.353186871438993,-5.353186871438993,1,-1506382.3716764115,-3.7846875355373593,-3.7846875355373593,1,0.0,0.0,0.0,0
0.07,0.01,0.07,0.08,7,14,20,close,3.0,False,0.03,20,0.6,-975666.9115538868,-2109795.2900851136,-4.409501942848191,-11.320837492865849,-27.417429174664264,-1.7965187995588348,-11.320837492865849,-27.417429174664264,3.6666666666666665,11,0.0,3,-2109795.2900851136,-4.748564504374444,-4.748564504374444,3,-817201.0350746041,-1.7965187995588348,-1.7965187995588348,1,-4.409501942848191,-27.417429174664264,-27.417429174664264,7
0.2,0.05,0.07,0.2,3,30,30,high,5.0,False,0.03,20,0.0,-1350029.3870428738,-2526886.363384807,-3.76668214221766,-12.580638367351725,-28.706025370466048,-3.3485688108599607,-12.580638367351725,-28.706025370466048,2.6666666666666665,8,0.0,3,-2526886.363384807,-5.687320920729162,-5.687320920729162,1,-1523198.0310616721,-3.3485688108599607,-3.3485688108599607,3,-3.76668214221766,-28.706025370466048,-28.706025370466048,4
0.1,0.02,0.2,0.05,3,21,30,close,1.0,False,0.0,20,0.0,-1422727.193101289,-2588335.1573262103,-0.9942623965330033,-5.751909091479877,-7.784715284715276,-3.780866517415816,-8.087990107610379,-14.792958333106782,4.0,12,11.111111111111109,3,-1679845.427715261,-3.780866517415816,-3.780866517415816,3,-2588335.1573262103,-5.690145472308541,-5.690145472308541,3,-0.9942623965330033,-7.784715284715276,-14.792958333106782,6
0.07,0.03,0.15,0.15,5,21,20,close,5.0,False,0.05,20,0.6,-923250.4471556921,-2632884.270092523,-5.124281479359423,-11.977718030811424,-29.706386626965976,-0.30087463224332167,-11.977718030811424,-29.706386626965976,3.6666666666666665,11,25.0,3,-2632884.270092523,-5.925892833224971,-5.925892833224971,4,-136861.94709307357,-0.30087463224332167,-0.30087463224332167,2,-5.124281479359423,-29.706386626965976,-29.706386626965976,5
