trial,window,start_date,end_date,n_trades,dip_pct,proximity_pct,profit_target_pct,stop_loss_pct,max_positions,max_hold_days,lookback_days,ref_price_method,sma_filter_period,market_breadth_filter,trailing_stop_pct,total_return,total_return_pct,sortino,sharpe,max_drawdown,max_drawdown_pct,n_days,final_equity,mean_daily_return,win_rate
24,w2,2025-11-14,2026-01-13,42,0.25,0.01,0.1,0.15,5,21,10,high,0,0.6,0.03,-0.2541860307138046,-25.418603071380456,-2.2499941196483517,-3.2131950325793306,-0.2541860307138046,-25.418603071380456,36,7458.139692861954,-0.007330183097389252,9.523809523809524
24,w3,2025-09-15,2025-11-14,26,0.25,0.01,0.1,0.15,5,21,10,high,0,0.6,0.03,-0.264316093368663,-26.431609336866302,-2.501086909871799,-4.982066745372945,-0.264316093368663,-26.431609336866302,30,7356.83906631337,-0.009733516576908253,7.6923076923076925
25,w1,2026-01-13,2026-03-14,38,0.15,0.01,0.15,0.08,5,21,20,high,50,0.0,0.03,-0.24845319453810444,-24.845319453810443,-13.409301115123824,-11.990586431221912,-0.25985606658001364,-25.985606658001366,11,7515.468054618956,-0.027170102192490296,15.789473684210526
25,w2,2025-11-14,2026-01-13,12,0.15,0.01,0.15,0.08,5,21,20,high,50,0.0,0.03,-0.10204074973589343,-10.204074973589343,-34937522.54923542,-1.3619971300315747,-0.2748039938998023,-27.48039938998023,3,6806.8447501648525,-0.018287135098304846,0.0
25,w3,2025-09-15,2025-11-14,70,0.15,0.01,0.15,0.08,5,21,20,high,50,0.0,0.03,-0.24830027530527182,-24.830027530527182,-9.558961646677417,-7.215390774010422,-0.2632463706572722,-26.32463706572722,55,7512.511206262978,-0.005177102418347435,28.57142857142857
26,w1,2026-01-13,2026-03-14,0,0.12,0.03,0.07,0.15,5,7,20,sma,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61,10000.0,0.0,0.0
26,w2,2025-11-14,2026-01-13,0,0.12,0.03,0.07,0.15,5,7,20,sma,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61,10000.0,0.0,0.0
26,w3,2025-09-15,2025-11-14,0,0.12,0.03,0.07,0.15,5,7,20,sma,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61,10000.0,0.0,0.0
27,w1,2026-01-13,2026-03-14,0,0.25,0.01,0.15,0.1,5,7,30,sma,20,0.6,0.05,0.0,0.0,0.0,0.0,0.0,0.0,61,10000.0,0.0,0.0
27,w2,2025-11-14,2026-01-13,0,0.25,0.01,0.15,0.1,5,7,30,sma,20,0.6,0.05,0.0,0.0,0.0,0.0,0.0,0.0,61,10000.0,0.0,0.0
27,w3,2025-09-15,2025-11-14,0,0.25,0.01,0.15,0.1,5,7,30,sma,20,0.6,0.05,0.0,0.0,0.0,0.0,0.0,0.0,61,10000.0,0.0,0.0
28,w1,2026-01-13,2026-03-14,42,0.15,0.02,0.1,0.15,5,14,30,high,0,0.0,0.05,-0.2623493773250026,-26.234937732500256,-18.25065440822246,-14.758567215809375,-0.27018401333426406,-27.018401333426407,8,7376.506226749974,-0.0410327515234679,19.047619047619047
28,w2,2025-11-14,2026-01-13,22,0.15,0.02,0.1,0.15,5,14,30,high,0,0.0,0.05,-0.3500624533174737,-35.00624533174737,-331259069.5247946,-18.139726862675783,-0.3560041682173823,-35.60041682173823,3,4470.2881973272515,-0.1733889215642523,0.0
28,w3,2025-09-15,2025-11-14,42,0.15,0.02,0.1,0.15,5,14,30,high,0,0.0,0.05,-0.28423449164945486,-28.423449164945485,-18.03338949209386,-17.3657708066996,-0.28423449164945486,-28.423449164945485,8,6673.751795021483,-0.04528619854127428,9.523809523809524
29,w1,2026-01-13,2026-03-14,48,0.1,0.03,0.1,0.1,5,21,30,high,0,0.0,0.03,-0.2709912821346063,-27.09912821346063,-31.62434039746623,-31.62434039746623,-0.2709912821346063,-27.09912821346063,6,7207.1503485105,-0.06052361042643878,25.0
29,w2,2025-11-14,2026-01-13,24,0.1,0.03,0.1,0.1,5,21,30,high,0,0.0,0.03,-0.2548075994494399,-25.480759944943994,-222990141.58115003,-11.9203412474836,-0.3037852856539131,-30.37852856539131,3,4840.7062569734335,-0.11671837460535268,0.0
29,w3,2025-09-15,2025-11-14,48,0.1,0.03,0.1,0.1,5,21,30,high,0,0.0,0.03,-0.27511393854174837,-27.511393854174838,-24.897629310736455,-24.897629310736455,-0.27511393854174837,-27.511393854174838,6,6383.302845838862,-0.061113042645073376,0.0
30,w1,2026-01-13,2026-03-14,14,0.2,0.01,0.07,0.2,3,14,20,high,0,0.6,0.0,-0.40177637956574036,-40.17763795657404,-6.924606671536588,-8.296714921017797,-0.40375997620084236,-40.375997620084235,21,5982.2362043425965,-0.023604163317369,0.0
30,w2,2025-11-14,2026-01-13,12,0.2,0.01,0.07,0.2,3,14,20,high,0,0.6,0.0,-0.37913220208649173,-37.91322020864917,-78.35456657547309,-12.89408382290302,-0.37913220208649173,-37.91322020864917,5,6208.677979135083,-0.10011022268882744,0.0
30,w3,2025-09-15,2025-11-14,14,0.2,0.01,0.07,0.2,3,14,20,high,0,0.6,0.0,-0.29527546695490736,-29.527546695490734,-3.7651789732693457,-4.666782690616056,-0.2954530382895628,-29.545303828956282,27,7047.245330450926,-0.01198755727705672,0.0
