dip_pct,proximity_pct,profit_target_pct,stop_loss_pct,max_positions,max_hold_days,lookback_days,ref_price_method,sma_filter_period,market_breadth_filter,trailing_stop_pct,total_return,total_return_pct,sortino,sharpe,max_drawdown,max_drawdown_pct,n_days,final_equity,mean_daily_return,win_rate,n_trades
0.25,0.01,0.15,0.2,3,14,20,sma,50,0.6,0.03,0.0,0.0,0.0,0.0,0.0,0.0,61,10000.0,0.0,0.0,0
0.1,0.02,0.2,0.08,3,7,30,sma,20,0.6,0.03,0.0,0.0,0.0,0.0,0.0,0.0,61,10000.0,0.0,0.0,0
0.15,0.005,0.15,0.1,3,21,10,sma,50,0.6,0.03,0.0,0.0,0.0,0.0,0.0,0.0,61,10000.0,0.0,0.0,0
0.25,0.005,0.07,0.15,5,7,30,sma,50,0.6,0.03,0.0,0.0,0.0,0.0,0.0,0.0,61,10000.0,0.0,0.0,0
0.2,0.005,0.15,0.08,3,14,30,sma,20,0.6,0.05,0.0,0.0,0.0,0.0,0.0,0.0,61,10000.0,0.0,0.0,0
0.15,0.03,0.15,0.08,5,14,10,sma,50,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61,10000.0,0.0,0.0,0
0.1,0.01,0.15,0.1,5,14,10,sma,50,0.7,0.03,0.0,0.0,0.0,0.0,0.0,0.0,61,10000.0,0.0,0.0,0
0.25,0.005,0.05,0.15,5,21,20,sma,20,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61,10000.0,0.0,0.0,0
0.1,0.01,0.15,0.15,5,21,10,sma,20,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61,10000.0,0.0,0.0,0
0.2,0.01,0.2,0.1,5,14,20,high,50,0.7,0.03,0.0,0.0,0.0,0.0,0.0,0.0,61,10000.0,0.0,0.0,0
0.15,0.005,0.15,0.08,3,21,20,sma,20,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61,10000.0,0.0,0.0,0
0.25,0.03,0.07,0.25,3,14,20,sma,50,0.7,0.05,0.0,0.0,0.0,0.0,0.0,0.0,61,10000.0,0.0,0.0,0
0.15,0.01,0.07,0.1,3,7,20,sma,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61,10000.0,0.0,0.0,0
0.2,0.02,0.05,0.2,5,7,10,sma,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61,10000.0,0.0,0.0,0
0.25,0.03,0.05,0.15,3,14,10,high,50,0.6,0.03,0.0,0.0,0.0,0.0,0.0,0.0,61,10000.0,0.0,0.0,0
0.25,0.03,0.15,0.2,3,14,30,high,50,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,61,10000.0,0.0,0.0,0
0.25,0.02,0.2,0.15,5,14,10,sma,20,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,61,10000.0,0.0,0.0,0
0.1,0.01,0.07,0.2,5,14,10,sma,50,0.6,0.03,0.0,0.0,0.0,0.0,0.0,0.0,61,10000.0,0.0,0.0,0
0.2,0.005,0.07,0.08,5,21,20,sma,20,0.6,0.05,0.0,0.0,0.0,0.0,0.0,0.0,61,10000.0,0.0,0.0,0
0.25,0.03,0.15,0.15,5,7,10,sma,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61,10000.0,0.0,0.0,0
0.2,0.005,0.15,0.15,3,14,30,sma,50,0.6,0.03,0.0,0.0,0.0,0.0,0.0,0.0,61,10000.0,0.0,0.0,0
0.2,0.02,0.05,0.08,5,7,10,sma,20,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,61,10000.0,0.0,0.0,0
0.25,0.03,0.1,0.08,3,14,20,high,50,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,61,10000.0,0.0,0.0,0
0.07,0.02,0.15,0.08,3,14,20,sma,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61,10000.0,0.0,0.0,0
0.2,0.02,0.1,0.15,3,14,30,high,50,0.6,0.05,0.0,0.0,0.0,0.0,0.0,0.0,61,10000.0,0.0,0.0,0
0.1,0.005,0.15,0.15,5,21,20,sma,20,0.6,0.05,0.0,0.0,0.0,0.0,0.0,0.0,61,10000.0,0.0,0.0,0
0.1,0.01,0.05,0.08,3,21,30,sma,50,0.6,0.03,0.0,0.0,0.0,0.0,0.0,0.0,61,10000.0,0.0,0.0,0
0.15,0.03,0.15,0.25,3,7,30,sma,50,0.7,0.05,0.0,0.0,0.0,0.0,0.0,0.0,61,10000.0,0.0,0.0,0
0.07,0.03,0.05,0.08,3,14,20,sma,20,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61,10000.0,0.0,0.0,0
0.1,0.03,0.2,0.08,3,14,20,sma,0,0.7,0.03,-0.03316432098589797,-3.316432098589797,-0.11976991627856903,-0.16527957243444882,-0.19871050488639233,-19.871050488639234,61,9691.432746369115,-0.00022113274205095475,45.16129032258064,65
0.2,0.005,0.1,0.1,3,21,20,sma,0,0.0,0.03,-0.04142626078217491,-4.142626078217491,-0.17183567745025813,-0.3872238827497149,-0.1640594932587187,-16.405949325871873,61,9585.737392178251,-0.0004492426371995743,53.84615384615385,29
0.2,0.01,0.15,0.15,5,7,10,high,0,0.0,0.03,-0.10177947936797395,-10.177947936797395,-0.18943446401782837,-0.22459043699530823,-0.3796642160608378,-37.96642160608378,61,8890.353439021894,-0.0005627055651069634,53.333333333333336,125
0.1,0.005,0.2,0.1,3,14,10,sma,0,0.6,0.05,-0.030059977679426992,-3.005997767942699,-0.26494140333311966,-0.5442122629821579,-0.07991668545675813,-7.991668545675814,61,9699.40022320573,-0.00040578371164194383,75.0,11
