dip_pct,profit_target_pct,stop_loss_pct,max_positions,max_hold_days,lookback_days,sma_filter_period,trailing_stop_pct,total_return,total_return_pct,sortino,sharpe,max_drawdown,max_drawdown_pct,n_days,final_equity,mean_daily_return,win_rate,n_trades
0.1,0.1,0.06,5,7,20,50,0.0,-0.03441917498938419,-3.441917498938419,-3.8663052521931602,-3.821483710665411,-0.038083075274383614,-3.8083075274383615,30,9655.808250106158,-0.001189310595412544,0.0,9
0.12,0.07,0.06,5,14,10,10,0.03,-0.09735693175710061,-9.735693175710061,-3.880803255148996,-2.883178175657103,-0.18748993408675527,-18.748993408675528,30,8836.993214171716,-0.003288543483784542,41.86046511627907,86
0.12,0.07,0.06,7,7,10,10,0.03,-0.09735693175710061,-9.735693175710061,-3.880803255148996,-2.883178175657103,-0.18748993408675527,-18.748993408675528,30,8836.993214171716,-0.003288543483784542,41.86046511627907,86
0.1,0.1,0.1,7,14,10,20,0.03,-0.0870712205135349,-8.70712205135349,-4.15931107915713,-2.7164100701025147,-0.1669615154688892,-16.69615154688892,30,9129.287794864651,-0.0029241245960859555,46.0,100
0.2,0.1,0.1,3,7,20,20,0.03,-0.014440646837739223,-1.4440646837739224,-4.184138733488756,-4.486044196647624,-0.02225649193148038,-2.2256491931480378,30,9855.593531622608,-0.0004991918573218811,50.0,12
0.2,0.1,0.1,7,14,20,20,0.03,-0.014440646837739223,-1.4440646837739224,-4.184138733488756,-4.486044196647624,-0.02225649193148038,-2.2256491931480378,30,9855.593531622608,-0.0004991918573218811,50.0,12
0.2,0.1,0.08,5,14,20,20,0.03,-0.014440646837739223,-1.4440646837739224,-4.184138733488756,-4.486044196647624,-0.02225649193148038,-2.2256491931480378,30,9855.593531622608,-0.0004991918573218811,50.0,12
0.15,0.07,0.1,7,14,10,20,0.05,-0.03860732750529969,-3.860732750529969,-4.248973894677793,-2.9339560783027534,-0.05671807775568469,-5.671807775568468,30,9613.926724947003,-0.001319989350471329,23.076923076923077,26
0.15,0.07,0.08,5,14,10,20,0.03,-0.037412316255779114,-3.7412316255779112,-4.392887980452517,-2.566289434864304,-0.079489670425432,-7.9489670425432,30,9625.876837442209,-0.0012697178624661628,46.15384615384615,26
0.2,0.1,0.15,3,14,10,0,0.0,-0.09756591848374553,-9.756591848374553,-4.515099042369539,-2.5029332405124705,-0.15538510352829893,-15.538510352829892,30,8692.863748677162,-0.00322978444736858,40.0,21
0.2,0.1,0.15,5,7,10,0,0.03,-0.16741094548234303,-16.741094548234305,-4.623261519278503,-4.572940187496248,-0.2058497619087893,-20.58497619087893,30,8020.068565452968,-0.005977430228286832,44.73684210526316,76
0.1,0.1,0.1,3,7,10,20,0.03,-0.09684201536214114,-9.684201536214115,-4.68294000989007,-3.1253002722923964,-0.17653357973133524,-17.653357973133524,30,9031.579846378589,-0.0033015799018787594,43.75,96
0.12,0.1,0.15,5,7,10,10,0.0,-0.10194471566365783,-10.194471566365783,-4.758069753126503,-2.443654426142701,-0.184704756013743,-18.4704756013743,30,8792.078212133034,-0.003356987071140036,35.294117647058826,35
0.2,0.1,0.08,5,14,10,0,0.03,-0.183173299905302,-18.3173299905302,-4.819643339743344,-4.163622659448009,-0.21446227764557824,-21.446227764557825,30,7868.2347615623585,-0.006497897439200085,43.58974358974359,78
0.1,0.1,0.08,7,7,20,50,0.0,-0.04957795223034682,-4.957795223034682,-4.8755967674885765,-5.185553953159056,-0.051607854953905304,-5.16078549539053,30,9504.220477696532,-0.001731433239037869,0.0,9
