checkpoint,universe,period,return_pct,annualized_pct,sortino,max_dd_pct,num_trades,win_rate,avg_hold
autoresearch_crypto8_daily/reg_combo_1,8sym,60,38.02,610.09,3.966,18.54,54,61.1,1.1
autoresearch_crypto8_daily/reg_combo_1,8sym,90,-6.33,-23.29,0.129,44.78,78,59.0,1.2
autoresearch_crypto8_daily/reg_combo_1,8sym,120,8.79,29.22,0.995,33.1,104,55.8,1.2
autoresearch_crypto8_daily/reg_combo_1,8sym,180,-8.06,-15.66,0.308,46.2,158,53.2,1.1
autoresearch_crypto8_daily/reg_combo_2,8sym,30,34.1,3451.2,10.59,9.19,24,41.7,1.2
autoresearch_crypto8_daily/reg_combo_2,8sym,60,1.87,11.94,0.891,28.58,54,40.7,1.1
autoresearch_crypto8_daily/reg_combo_2,8sym,90,39.11,281.38,3.68,25.43,84,46.4,1.1
autoresearch_crypto8_daily/reg_combo_2,8sym,120,71.29,413.93,4.307,28.75,110,52.7,1.1
autoresearch_crypto8_daily/reg_combo_2,8sym,180,0.4,0.81,0.65,53.88,167,50.9,1.1
autoresearch_crypto8_daily/reg_combo_3,8sym,30,26.66,1673.25,8.319,9.46,24,66.7,1.2
autoresearch_crypto8_daily/reg_combo_3,8sym,60,59.26,1595.99,8.915,11.26,52,55.8,1.2
autoresearch_crypto8_daily/reg_combo_3,8sym,90,39.47,285.4,3.426,29.74,70,57.1,1.3
autoresearch_crypto8_daily/reg_combo_3,8sym,120,18.16,66.13,1.456,34.0,96,54.2,1.2
autoresearch_crypto8_daily/reg_combo_3,8sym,180,-8.24,-16.0,0.29,46.63,141,51.8,1.3
autoresearch_crypto8_daily/resmlp,8sym,30,8.82,179.5,2.048,18.54,27,70.4,1.1
autoresearch_crypto8_daily/resmlp,8sym,60,29.22,375.55,3.362,18.54,53,56.6,1.1
autoresearch_crypto8_daily/resmlp,8sym,90,-13.45,-44.34,-0.499,33.6,72,45.8,1.2
autoresearch_crypto8_daily/resmlp,8sym,120,-3.86,-11.27,0.452,28.97,101,51.5,1.2
autoresearch_crypto8_daily/resmlp,8sym,180,-8.49,-16.47,0.332,45.29,155,49.0,1.2
autoresearch_crypto8_daily/resmlp_wd,8sym,30,21.34,952.22,4.077,18.55,27,63.0,1.1
autoresearch_crypto8_daily/resmlp_wd,8sym,60,29.51,382.08,3.305,18.55,51,60.8,1.2
autoresearch_crypto8_daily/resmlp_wd,8sym,90,71.3,787.18,4.58,23.46,80,63.7,1.1
autoresearch_crypto8_daily/resmlp_wd,8sym,120,-17.75,-44.81,-0.263,44.38,104,52.9,1.2
autoresearch_crypto8_daily/resmlp_wd,8sym,180,-14.29,-26.85,0.127,47.68,157,51.0,1.1
autoresearch_crypto8_daily/seed_123,8sym,30,22.05,1029.62,4.724,14.93,24,75.0,1.2
autoresearch_crypto8_daily/seed_123,8sym,60,23.5,261.17,3.075,19.69,51,54.9,1.2
autoresearch_crypto8_daily/seed_123,8sym,90,-17.27,-53.64,-0.819,37.65,75,49.3,1.2
autoresearch_crypto8_daily/seed_123,8sym,120,-17.0,-43.26,-0.241,38.99,99,52.5,1.2
autoresearch_crypto8_daily/seed_123,8sym,180,-28.67,-49.59,-0.479,52.96,149,50.3,1.2
autoresearch_crypto8_daily/seed_7,8sym,30,3.58,53.46,1.201,18.55,24,66.7,1.2
autoresearch_crypto8_daily/seed_7,8sym,60,-14.05,-60.18,-0.782,32.79,51,56.9,1.2
autoresearch_crypto8_daily/seed_7,8sym,90,-39.23,-86.74,-2.491,44.12,72,51.4,1.2
autoresearch_crypto8_daily/seed_7,8sym,120,-22.94,-54.74,-0.518,40.57,98,55.1,1.2
autoresearch_crypto8_daily/seed_7,8sym,180,-37.75,-61.75,-0.815,52.38,145,51.7,1.2
autoresearch_crypto8_daily/slip_10bps,8sym,30,-3.79,-37.52,-0.017,18.55,29,58.6,1.0
autoresearch_crypto8_daily/slip_10bps,8sym,60,1.4,8.82,0.685,18.55,53,56.6,1.1
autoresearch_crypto8_daily/slip_10bps,8sym,90,24.61,144.04,2.132,25.18,76,63.2,1.2
autoresearch_crypto8_daily/slip_10bps,8sym,120,17.48,63.21,1.383,26.09,103,58.3,1.2
autoresearch_crypto8_daily/slip_10bps,8sym,180,24.91,57.0,1.323,32.97,155,56.1,1.2
autoresearch_crypto8_daily/slip_5bps,8sym,30,14.32,409.58,2.952,18.55,26,65.4,1.2
autoresearch_crypto8_daily/slip_5bps,8sym,60,-17.1,-68.06,-1.377,23.16,54,44.4,1.1
autoresearch_crypto8_daily/slip_5bps,8sym,90,-29.76,-76.14,-1.741,38.61,78,46.2,1.2
autoresearch_crypto8_daily/slip_5bps,8sym,120,-25.08,-58.45,-0.728,35.06,107,47.7,1.1
autoresearch_crypto8_daily/slip_5bps,8sym,180,-66.46,-89.09,-2.62,68.68,161,46.0,1.1
