symbol,split_date,factor,status
ODFL,2024-03-28,2.0,FIXED(dry)
OKTA,2022-09-01,0.0,UNRECOGNIZED_DROP
OPUSD,2022-06-08,0.0,UNRECOGNIZED_DROP
ORLY,2025-06-10,15.0,FIXED(dry)
ORLY,2025-06-10,15.0,FIXED_HOURLY(dry)
PANW,2022-09-14,3.0,FIXED(dry)
PANW,2024-12-16,2.0,FIXED(dry)
PANW,2022-09-14,3.0,FIXED_HOURLY(dry)
PATH,2024-05-30,0.0,UNRECOGNIZED_DROP
QUBT,2019-03-15,0.0,UNRECOGNIZED_DROP
QUBT,2019-04-30,0.0,UNRECOGNIZED_DROP
QUBT,2019-08-02,0.0,UNRECOGNIZED_DROP
QUBT,2020-01-10,0.0,UNRECOGNIZED_DROP
QUBT,2020-06-04,0.0,UNRECOGNIZED_DROP
QUBT,2024-12-19,0.0,UNRECOGNIZED_DROP
QUBT,2025-01-08,0.0,UNRECOGNIZED_DROP
RNDRUSD,2022-05-11,0.0,UNRECOGNIZED_DROP
SAIA,2025-04-25,0.0,UNRECOGNIZED_DROP
SEDG,2025-06-17,0.0,UNRECOGNIZED_DROP
SHOP,2022-06-29,10.0,FIXED(dry)
SHOP,2022-06-29,10.0,FIXED_HOURLY(dry)
SHW,2021-04-01,3.0,FIXED_HOURLY(dry)
SMCI,2024-10-01,10.0,FIXED(dry)
SMCI,2024-10-30,0.0,UNRECOGNIZED_DROP
SNAP,2022-05-24,0.0,UNRECOGNIZED_DROP
SNAP,2022-07-22,0.0,UNRECOGNIZED_DROP
SNAP,2024-02-07,0.0,UNRECOGNIZED_DROP
SNPS,2025-09-10,0.0,UNRECOGNIZED_DROP
SOLUSD,2022-11-09,0.0,UNRECOGNIZED_DROP
SONY,2024-10-09,5.0,FIXED(dry)
SOUN,2022-06-06,0.0,UNRECOGNIZED_DROP
SRE,2023-08-22,2.0,FIXED(dry)
SRE,2023-08-22,2.0,FIXED_HOURLY(dry)
TPL,2024-03-27,3.0,FIXED(dry)
TPL,2025-12-23,3.0,FIXED_HOURLY(dry)
TSCO,2024-12-20,5.0,FIXED(dry)
TSLA,2020-08-31,5.0,OK
TSLA,2022-08-25,3.0,OK
TTD,2025-02-13,0.0,UNRECOGNIZED_DROP
TTD,2025-08-08,0.0,UNRECOGNIZED_DROP
TWLO,2022-11-04,0.0,UNRECOGNIZED_DROP
U,2022-05-11,0.0,UNRECOGNIZED_DROP
UPST,2022-05-10,0.0,UNRECOGNIZED_DROP
UPST,2023-08-09,0.0,UNRECOGNIZED_DROP
WMT,2024-02-26,3.0,FIXED(dry)
WRB,2024-07-11,0.0,UNRECOGNIZED_DROP
WSM,2024-07-09,2.0,FIXED(dry)
WST,2025-02-13,0.0,UNRECOGNIZED_DROP
